#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 01 09 12 50 101  9.0 10.5  1.57  5.26  4.57 999 1016.1  27.1  27.1  22.7 99.0 99.00
2011 01 09 13 50 109  8.5 10.0  1.58  4.55  4.52 999 1016.3  27.2  27.1  22.4 99.0 99.00
2011 01 09 14 50 114  6.8  7.9  1.56  5.56  4.58 999 1016.0  27.3  27.1  22.6 99.0 99.00
2011 01 09 15 50 108  6.4  7.7  1.50  5.56  4.70 999 1015.2  27.1  27.1  22.6 99.0 99.00
2011 01 09 16 50 101  5.4  6.5  1.45  4.76  4.74 999 1014.7  27.4  27.2  22.2 99.0 99.00
2011 01 09 17 50  97  5.5  6.4  1.56  5.00  4.68 999 1014.1  27.2  27.2  22.0 99.0 99.00
2011 01 09 18 50 111  5.5  6.5  1.49  5.00  4.73 999 1014.0  27.5  27.2  22.2 99.0 99.00
2011 01 09 19 50  78  5.0  5.6  1.34  5.00  4.65 999 1014.2  27.1  27.2  22.4 99.0 99.00
2011 01 09 20 50  89  5.8  6.8  1.32  5.00  4.62 999 1014.5  27.3  27.2  22.7 99.0 99.00
2011 01 09 21 50  85  6.7  8.2  1.35  5.26  4.70 999 1014.8  26.9  27.2  22.8 99.0 99.00
2011 01 09 22 50  72  6.5  7.5  1.25  5.26  4.38 999 1015.3  26.8  27.1  23.0 99.0 99.00
2011 01 09 23 50  74  6.7  7.7  1.29  6.25  4.48 999 1016.0  26.8  27.1  22.9 99.0 99.00
2011 01 10 00 50  73  6.4  7.7  1.30  5.26  4.50 999 1016.5  26.8  27.1  23.0 99.0 99.00
2011 01 10 01 50  75  7.9  8.8  1.34  5.26  4.40 999 1016.8  26.7  27.1  22.7 99.0 99.00
2011 01 10 02 50  76  8.2  9.6  1.49  5.00  4.56 999 1016.5  26.6  27.1  22.8 99.0 99.00
2011 01 10 03 50  80  7.5  9.1  1.40  5.56  4.43 999 1016.2  26.6  27.1  23.1 99.0 99.00
2011 01 10 04 50  78  7.5  8.6  1.53  5.56  4.57 999 1016.0  26.5  27.1  22.8 99.0 99.00
2011 01 10 05 50  74  6.9  8.8  1.56  5.26  4.62 999 1015.6  26.4  27.1  23.0 99.0 99.00
