#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 01 08 08 50 104  5.0  6.2  0.56  8.33  4.52 999  996.0   2.1   5.2 999.0 99.0 99.00
2011 01 08 09 50 102  4.8  5.6 99.00 99.00 99.00 999  995.6   2.6   5.2 999.0 99.0 99.00
2011 01 08 10 50  97  5.6  7.0  0.57  8.33  4.30 999  995.2   2.9   5.2 999.0 99.0 99.00
2011 01 08 11 50 111  6.5  8.3  0.64  7.14  3.82 999  995.0   3.1   5.3 999.0 99.0 99.00
2011 01 08 12 50 119  4.7  5.6 99.00 99.00 99.00 999  995.2   2.6   5.3 999.0 99.0 99.00
2011 01 08 13 50  98  8.5  9.4  0.82  6.67  3.96 999  994.4   1.2   5.2 999.0 99.0 99.00
2011 01 08 15 50 278  3.8  5.4  0.78  9.09  4.22 999  994.2   3.5   5.2 999.0 99.0 99.00
2011 01 08 16 50   3  9.7 11.8  0.77  9.09  4.07 999  993.9   1.3   5.3 999.0 99.0 99.00
2011 01 08 17 50   9  9.8 11.3  1.13  3.45  3.64 999  993.8   0.6   5.2 999.0 99.0 99.00
2011 01 08 18 50 355  8.6  9.9  1.29  4.55  4.00 999  994.7   0.2   5.3 999.0 99.0 99.00
2011 01 08 19 50 319  9.2 10.8  1.27  5.00  3.91 999  995.9   0.5   5.2 999.0 99.0 99.00
2011 01 08 20 50 311  9.2 11.1  1.14  4.35  3.87 999  997.1   0.6   5.1 999.0 99.0 99.00
2011 01 08 21 50 327 11.6 13.7  1.18  3.45  3.69 999  998.0   0.5   5.1 999.0 99.0 99.00
2011 01 08 22 50 317 12.3 15.2  1.43  4.55  4.02 999  999.0   0.1   5.0 999.0 99.0 99.00
2011 01 08 23 50 314 13.5 16.5  1.54  4.76  4.20 999 1000.2  -0.4   4.9 999.0 99.0 99.00
2011 01 09 00 50 307 13.2 16.7  1.67  5.56  4.35 999 1001.2  -0.6   4.8 999.0 99.0 99.00
2011 01 09 01 50 307 14.5 17.5  1.75  5.56  4.45 999 1001.9  -1.1   4.8 999.0 99.0 99.00
2011 01 09 02 50 302 13.8 17.2  1.81  5.26  4.48 999 1002.5  -1.3   4.8 999.0 99.0 99.00
2011 01 09 03 50 302 14.0 17.5  1.74  5.56  4.29 999 1002.8  -1.8   4.8 999.0 99.0 99.00
2011 01 09 04 50 295 14.3 17.6  2.02  5.56  4.44 999 1003.3  -2.0   4.8 999.0 99.0 99.00
2011 01 09 05 50 297 14.6 18.6  1.97  5.26  4.38 999 1003.9  -2.2   4.8 999.0 99.0 99.00
2011 01 09 06 50 298 14.9 18.5  1.92  5.88  4.34 999 1005.2  -2.3   4.7 999.0 99.0 99.00
2011 01 09 07 50 302 13.7 16.3  2.03  5.56  4.51 999 1007.0  -2.2   4.7 999.0 99.0 99.00
2011 01 09 08 50 304 15.5 18.7  2.19  5.56  4.58 999 1007.7  -2.4   4.6 999.0 99.0 99.00
2011 01 09 09 50 305 13.9 17.3  2.04  5.56  4.60 999 1008.9  -2.2   4.5 999.0 99.0 99.00
2011 01 09 10 50 307 14.1 17.3  2.01  5.88  4.62 999 1010.1  -2.2   4.5 999.0 99.0 99.00
2011 01 09 11 50 305 14.1 17.4  1.97  5.88  4.64 999 1011.6  -2.6   4.5 999.0 99.0 99.00
2011 01 09 12 50 294 13.1 17.3  1.96  5.88  4.58 999 1013.3  -2.7   4.5 999.0 99.0 99.00
2011 01 09 13 50 301 13.8 18.2  2.10  5.56  4.64 999 1013.9  -2.2   4.5 999.0 99.0 99.00
2011 01 09 14 50 313 14.5 17.7  2.13  5.88  4.68 999 1014.4  -2.1   4.6 999.0 99.0 99.00
2011 01 09 15 50 305 13.5 17.2  2.03  5.88  4.68 999 1015.0  -1.8   4.6 999.0 99.0 99.00
2011 01 09 16 50 311 13.2 16.4  1.91  5.88  4.63 999 1014.7  -1.4   4.6 999.0 99.0 99.00
2011 01 09 17 50 310 13.0 16.1  2.02  5.88  4.65 999 1015.3  -1.2   4.6 999.0 99.0 99.00
2011 01 09 18 50 303 12.0 15.3  1.83  5.88  4.49 999 1015.7  -0.7   4.7 999.0 99.0 99.00
2011 01 09 19 50 301 12.3 14.2  1.80  5.88  4.40 999 1016.4  -0.1   4.7 999.0 99.0 99.00
2011 01 09 20 50 302 12.7 14.8  1.92  5.56  4.46 999 1017.4   0.4   4.7 999.0 99.0 99.00
2011 01 09 21 50 308 13.1 16.3  1.65  5.56  4.32 999 1018.1   0.7   4.7 999.0 99.0 99.00
2011 01 09 22 50 306 13.3 16.0  1.80  5.56  4.46 999 1019.0   0.8   4.6 999.0 99.0 99.00
2011 01 09 23 50 312 12.7 15.4  1.74  5.26  4.44 999 1020.5   0.9   4.6 999.0 99.0 99.00
2011 01 10 00 50 312 12.8 15.6  1.75  5.26  4.46 999 1021.2   0.8   4.6 999.0 99.0 99.00
2011 01 10 01 50 314 12.0 15.3  1.79  5.56  4.63 999 1022.0   0.4   4.5 999.0 99.0 99.00
2011 01 10 02 50 315 12.8 17.0  1.72  5.26  4.60 999 1021.9   0.0   4.5 999.0 99.0 99.00
2011 01 10 03 50 316 11.6 14.6  1.67  5.56  4.47 999 1022.1  -0.2   4.5 999.0 99.0 99.00
2011 01 10 04 50 315 11.3 13.8  1.59  5.88  4.43 999 1022.8  -0.6   4.5 999.0 99.0 99.00
2011 01 10 05 50 320 10.6 13.8  1.44  5.56  4.25 999 1022.6  -0.9   4.5 999.0 99.0 99.00
2011 01 10 06 50 319 10.4 13.2  1.47  5.00  4.26 999 1023.5  -0.9   4.5 999.0 99.0 99.00
